id,subdomain,date,year,mon_day,event,spot,spot_id,desc,link,more_text,note,note1,note2,note3,,,,,,
1,essex,1/4/18,2018,JAN 4,ROADWAY UNDER WATER,Essex 2,2,Storm surge flooding closes Main Street.,,,,,,,,,,,,
2,essex,7/30/25,2025,JUL 30,FLOOD RISK REDUCED,Essex 6,6,Apple Street culvert enlarged to prevent chronic climate related overflow.,,,,,,,,,,,,
3,essex,6/30/34,2034,JUN 30,RELIEVING HIGHER TIDES,Essex 4,4,Ebben Creek culvert enlarged to accommodate tidal flow from sea-level rise.,,,,,,,,,,,,
4,essex,9/30/57,2057,SEP 30,ROADWAY RAISED,Essex 3,3,Causeway elevated 5 feet to keep above continuing sea-level rise.,,,,,,,,,,,,
5,essex,8/29/61,2061,AUG 29,SPECIES RELOCATES NORTHWARD,Essex 1,1,Last sighting in Essex of the American Bittern&#44 at this spot.,,,,,,,,,,,,
6,essex,3/1/74,2074,MAR 1,BRIDGE REPLACES ROAD,Essex 5,5,Bridge connecting Conomo Point to mainland first opened to traffic.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,